place_name,region,menu_name,menu_price,address,url,allergy,disease,emotion_summary,top_tags,menu_id,restaurant_id,ingredient
남영포차,갈월동,남포닭볶음탕,24500,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,고기,['신장질환'],,,0,0,고기
남영포차,갈월동,신림동백순대볶음,23500,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,"밀, 고기",['신장질환'],,,1,0,고기
남영포차,갈월동,양념순대볶음,23500,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,고기,['신장질환'],,,2,0,고기
남영포차,갈월동,춘천닭갈비,23000,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,고기,"['고혈압', '신장질환']",,,3,0,고기
남영포차,갈월동,석쇠불고기,19500,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,고기,"['고혈압', '신장질환']",,,4,0,고기
남영포차,갈월동,소고기타다끼,24500,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,고기,['신장질환'],,,5,0,고기
남영포차,갈월동,육회타코,21500,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,"밀, 고기",['신장질환'],,,6,0,고기
남영포차,갈월동,이태원칼부대찌개,18000,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,밀,"['고혈압', '신장질환']",,,7,0,없음
남영포차,갈월동,해물짬뽕순두부탕,18000,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,"밀, 땅콩/대두","['고혈압', '신장질환']",,,8,0,해산물
남영포차,갈월동,치즈무뼈닭발,18500,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,"고기, 우유",['신장질환'],,,9,0,"고기, 닭발"
남영포차,갈월동,통새우전,20000,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,"달걀, 갑각류",[],,,10,0,해산물
남영포차,갈월동,골뱅이쫄면,18000,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,밀,['신장질환'],,,11,0,없음
남영포차,갈월동,차돌 국물떡볶이,17500,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,"밀, 고기","['당뇨', '고혈압', '저혈압', '신장질환']",,,12,0,고기
남영포차,갈월동,두부김치,16000,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,땅콩/대두,"['고혈압', '신장질환']",,,13,0,없음
남영포차,갈월동,소고기고추장찌개,18000,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,"땅콩/대두, 고기","['고혈압', '신장질환']",,,14,0,고기
남영포차,갈월동,일품오뎅탕,18000,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,없음,['신장질환'],,,15,0,없음
남영포차,갈월동,타코와사비,14000,서울 용산구 갈월동 86-8,https://pcmap.place.naver.com/place/1225452856,밀,['신장질환'],,,16,0,없음
가든한밤,갈월동,치즈 플레이트,21000,서울 용산구 갈월동 53-21,https://pcmap.place.naver.com/place/1726513067,우유,[],,,17,1,없음
가든한밤,갈월동,대패삼겹살양상추말이,13000,서울 용산구 갈월동 53-21,https://pcmap.place.naver.com/place/1726513067,고기,"['고혈압', '신장질환']",,,18,1,고기
가든한밤,갈월동,냉파스타,19000,서울 용산구 갈월동 53-21,https://pcmap.place.naver.com/place/1726513067,밀,['신장질환'],,,19,1,없음
가든한밤,갈월동,잠봉믈렛,20000,서울 용산구 갈월동 53-21,https://pcmap.place.naver.com/place/1726513067,없음,[],,,20,1,없음
가든한밤,갈월동,치즈구이,15000,서울 용산구 갈월동 53-21,https://pcmap.place.naver.com/place/1726513067,우유,[],,,21,1,없음
가든한밤,갈월동,명란 오일 파스타,19000,서울 용산구 갈월동 53-21,https://pcmap.place.naver.com/place/1726513067,밀,['신장질환'],,,22,1,없음
